global_rank,selected_for_plot,figure_path,recording_id,cutter_id,follower_id,from_lane,to_lane,relation_start_time,dhw_min,thw_min,ttc_min
1,1,/Users/sandeep.arsule/IdeaProjects/cutin-risk-analysis/outputs/figures/Step 05/rank01_rec17_cutter491_follower495_6to5_risk_metrics.png,17,491,495,6,5,451.36,7.329999999999956,0.1872764435360233,2.161904761904761
2,1,/Users/sandeep.arsule/IdeaProjects/cutin-risk-analysis/outputs/figures/Step 05/rank02_rec12_cutter2141_follower2143_6to7_risk_metrics.png,12,2141,2143,6,7,727.2,5.269999999999982,0.1777403035413147,2.8956043956043853
3,1,/Users/sandeep.arsule/IdeaProjects/cutin-risk-analysis/outputs/figures/Step 05/rank03_rec16_cutter623_follower630_2to3_risk_metrics.png,16,623,630,2,3,602.24,35.97000000000003,0.9599679743795044,2.926769731489018
4,0,,13,2179,2189,3,4,796.52,12.880000000000004,0.4153498871331829,2.988399071925753
5,0,,07,71,74,2,3,47.08,15.69,0.4322314049586777,3.040697674418607
6,0,,19,846,851,2,3,815.2,19.17,0.6608066184074457,3.1120129870129873
7,0,,18,210,216,2,3,195.56,24.859999999999985,0.7322533136966122,3.130982367758184
8,0,,12,1317,1322,3,2,430.32,10.440000000000056,0.54488517745303,3.538983050847477
9,0,,03,618,623,2,3,688.24,21.960000000000008,0.5010266940451747,3.6845637583892623
10,0,,06,1040,1044,8,7,883.88,29.66999999999996,0.8047192839707068,3.789272030651337
11,0,,08,274,280,8,7,176.72,38.0,0.8812615955473099,3.85395537525355
12,0,,05,846,850,3,4,781.0,25.529999999999987,0.6753968253968251,3.8632138114209824
13,0,,11,1436,1443,2,3,501.96,10.650000000000006,0.3976848394324124,4.003759398496243
14,0,,09,1251,1257,3,4,950.48,20.01,0.501755265797392,4.250428816466553
15,0,,17,26,34,2,3,4.48,53.33000000000001,1.4764673311184944,4.279197080291973
16,0,,19,109,111,6,5,112.04,14.610000000000014,0.4236010437808064,4.414937759336094
17,0,,14,2515,2514,3,4,990.72,4.25,0.1572327044025157,4.428571428571433
18,0,,02,986,997,2,3,908.32,21.549999999999997,0.7451590594744121,4.475073313782997
19,0,,09,654,658,2,3,510.44,70.91999999999999,1.648152451777829,4.647444298820444
20,0,,16,733,735,6,5,706.16,34.53000000000003,0.9729501267962816,4.737108190091004
21,0,,05,1174,1179,8,7,1107.0,54.51000000000002,1.5099722991689757,4.773204903677759
22,0,,18,379,384,2,3,355.96,50.79,1.1530079455164586,4.791509433962267
23,0,,12,1106,1109,4,3,353.6,10.920000000000016,0.5839572192513378,4.848765432098779
24,0,,11,823,826,7,6,271.96,16.28,0.5606060606060607,4.8771186440677985
25,0,,20,486,492,2,3,402.28,24.98999999999998,0.8793103448275855,4.988555078683834
26,0,,01,1026,1030,2,3,884.52,29.279999999999973,0.7866738312735082,4.9931034482758605
27,0,,12,1948,1953,7,6,652.84,4.889999999999986,0.1428988895382817,5.008928571428551
28,0,,20,600,602,6,5,486.24,19.629999999999995,0.6506463374212792,5.059278350515459
